Season,Rk,Club,GF/MP,GA/MP,Pts/MP
2005-2006,2,Man United,1.894736842,0.894736842,2.18
2005-2006,3,Liverpool,1.5,0.657894737,2.16
2005-2006,4,Arsenal,1.789473684,0.815789474,1.76
2005-2006,5,Tottenham,1.394736842,1,1.71
2005-2006,6,Blackburn,1.342105263,1.105263158,1.66
2005-2006,7,Newcastle,1.236842105,1.105263158,1.53
2005-2006,8,Bolton,1.289473684,1.078947368,1.47
2005-2006,9,West Ham,1.368421053,1.447368421,1.45
2005-2006,10,Wigan,1.184210526,1.368421053,1.34
2005-2006,11,Everton,0.894736842,1.289473684,1.32
2005-2006,12,Fulham,1.263157895,1.526315789,1.26
2005-2006,13,Charlton,1.078947368,1.447368421,1.24
2005-2006,14,Middlesbrough,1.263157895,1.526315789,1.18
2005-2006,15,Man City,1.131578947,1.263157895,1.13
2005-2006,16,Aston Villa,1.105263158,1.447368421,1.11
2005-2006,17,Portsmouth,0.973684211,1.631578947,1
2005-2006,18,Birmingham,0.736842105,1.315789474,0.89
2005-2006,19,West Brom,0.815789474,1.526315789,0.79
2005-2006,20,Sunderland,0.684210526,1.815789474,0.39
2004-2005,1,Chelsea,1.894736842,0.394736842,2.5
2004-2005,2,Arsenal,2.289473684,0.947368421,2.18
2004-2005,3,Man United,1.526315789,0.684210526,2.03
2004-2005,4,Everton,1.184210526,1.210526316,1.61
2004-2005,5,Liverpool,1.368421053,1.078947368,1.53
2004-2005,6,Bolton,1.289473684,1.157894737,1.53
2004-2005,7,Middlesbrough,1.394736842,1.210526316,1.45
2004-2005,8,Man City,1.236842105,1.026315789,1.37
2004-2005,9,Tottenham,1.236842105,1.078947368,1.37
2004-2005,10,Aston Villa,1.184210526,1.368421053,1.24
2004-2005,11,Charlton,1.105263158,1.526315789,1.21
2004-2005,12,Birmingham,1.052631579,1.210526316,1.18
2004-2005,13,Fulham,1.368421053,1.578947368,1.16
2004-2005,14,Newcastle,1.236842105,1.5,1.16
2004-2005,15,Blackburn,0.842105263,1.131578947,1.11
2004-2005,16,Portsmouth,1.131578947,1.552631579,1.03
2004-2005,17,West Brom,0.947368421,1.605263158,0.89
2004-2005,18,Crystal Palace,1.078947368,1.631578947,0.87
2004-2005,19,Norwich,1.105263158,2.026315789,0.87
2004-2005,20,Southampton,1.184210526,1.736842105,0.84
2003-2004,1,Arsenal,1.921052632,0.684210526,2.37
2003-2004,2,Chelsea,1.763157895,0.789473684,2.08
2003-2004,3,Man United,1.684210526,0.921052632,1.97
2003-2004,4,Liverpool,1.447368421,0.973684211,1.58
2003-2004,5,Newcastle,1.368421053,1.052631579,1.47
2003-2004,6,Aston Villa,1.263157895,1.157894737,1.47
2003-2004,7,Charlton,1.342105263,1.342105263,1.39
2003-2004,8,Bolton,1.263157895,1.473684211,1.39
2003-2004,9,Fulham,1.368421053,1.210526316,1.37
2003-2004,10,Birmingham,1.131578947,1.263157895,1.32
2003-2004,11,Middlesbrough,1.157894737,1.368421053,1.26
2003-2004,12,Southampton,1.157894737,1.184210526,1.24
2003-2004,13,Portsmouth,1.236842105,1.421052632,1.18
2003-2004,14,Tottenham,1.236842105,1.5,1.18
2003-2004,15,Blackburn,1.342105263,1.552631579,1.16
2003-2004,16,Man City,1.447368421,1.421052632,1.08
2003-2004,17,Everton,1.184210526,1.5,1.03
2003-2004,18,Leicester,1.263157895,1.710526316,0.87
2003-2004,19,Leeds,1.052631579,2.078947368,0.87
2003-2004,20,Wolves,1,2.026315789,0.87
2002-2003,1,Man United,1.947368421,0.894736842,2.18
2002-2003,2,Arsenal,2.236842105,1.105263158,2.05
2002-2003,3,Newcastle,1.657894737,1.263157895,1.82
2002-2003,4,Chelsea,1.789473684,1,1.76
2002-2003,5,Liverpool,1.605263158,1.078947368,1.68
2002-2003,6,Blackburn,1.368421053,1.131578947,1.58
2002-2003,7,Everton,1.263157895,1.289473684,1.55
2002-2003,8,Southampton,1.131578947,1.210526316,1.37
2002-2003,9,Man City,1.236842105,1.421052632,1.34
2002-2003,10,Tottenham,1.342105263,1.631578947,1.32
2002-2003,11,Middlesbrough,1.263157895,1.157894737,1.29
2002-2003,12,Charlton,1.184210526,1.473684211,1.29
2002-2003,13,Birmingham,1.078947368,1.289473684,1.26
2002-2003,14,Fulham,1.078947368,1.315789474,1.26
2002-2003,15,Leeds,1.526315789,1.5,1.24
2002-2003,16,Aston Villa,1.105263158,1.236842105,1.18
2002-2003,17,Bolton,1.078947368,1.342105263,1.16
2002-2003,18,West Ham,1.105263158,1.552631579,1.11
